Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
308819.1497,85937.57388,38865.24211,4568.32851,21870.41962,31057.77484,24162.33102,2927.332217,1003.555943,234.6666667,42.66666667,35.53333333,73.76666667,8.44,33.53333333,6.936666667,1.46,6.68,1.073333333,7.36,1.506666667,4.4,0.686,5.06,0.781666667
245240.2361,93766.87184,65993.1811,32357.39674,61286.61234,19755.67717,8496.28913,6431.847929,1308.227383,476,20.2,17.63333333,37.86666667,4.573333333,19.5,4.12,1.266666667,4.036666667,0.575333333,3.71,0.736333333,2.143333333,0.299333333,1.976666667,0.299333333
318345.1719,89559.61516,22464.10994,2753.1343,15746.98978,32175.72301,28754.59375,2438.852976,230.5925769,257,11.7,27.96666667,47.73333333,4.6,15.8,2.65,0.899,2.29,0.324333333,1.85,0.400666667,1.093333333,0.194,1.47,0.238666667
315986.0063,79652.22932,19588.08202,4522.769226,17081.10932,29896.85629,26979.80275,2457.305881,542.1203446,177.4106667,24.69633333,45.971,84.91533333,8.755666667,31.71333333,5.954666667,1.122,5.002333333,0.828666667,4.953333333,0.896666667,2.562666667,0.393333333,2.631,0.33
282377.4355,87167.58917,45394.60278,20081.09536,41452.06447,24481.29671,17350.08854,4674.874602,774.4576352,501.8896667,17.47766667,29.62833333,55.35433333,6.048333333,23.26866667,4.558,1.078,3.745666667,0.535333333,3.451666667,0.611333333,1.825,0.272666667,1.899,0.261666667
239653.8838,84045.01008,76020.41356,33770.01022,51457.7352,25742.45442,16768.98509,11087.84361,1626.361034,473.0033333,23.07866667,26.162,52.71566667,6.268333333,25.51666667,5.260666667,1.728666667,4.862,0.721,4.357333333,0.834,2.378666667,0.345666667,2.386333333,0.322
235213.252,91719.14513,62728.50076,50232.89021,67538.27745,19881.78036,6143.09355,5394.086079,1006.794926,539.368,10.157,12.61733333,25.116,2.721333333,11.482,2.456666667,0.887,2.205666667,0.308,2.052666667,0.384,1.097,0.170333333,1.075,0.142333333
336366.1689,74518.4976,20132.19541,2653.357946,10220.07796,30119.41353,35364.2953,2037.765852,387.2288176,161.2503333,28.98633333,36.17733333,66.64733333,7.398333333,29.04633333,5.57,0.942333333,5.151333333,0.808666667,5.159333333,1.115333333,3.282666667,0.484333333,3.772,0.454333333
327578.3924,79387.60398,21609.07461,3015.179484,10720.3615,30119.41353,36277.45785,2277.503011,232.3372906,218.9903333,23.13966667,42.77266667,84.94533333,8.676,30.921,6.057,1.053666667,4.829333333,0.730333333,4.403,0.823333333,2.323,0.353,2.369666667,0.353333333
254097.6228,85103.51146,60474.31672,29006.02664,53673.27658,27300.35512,13448.39399,7731.52338,1239.132216,390.8263333,19.47166667,20.75133333,42.546,4.673,19.24666667,4.341,1.252666667,3.521333333,0.588333333,3.878666667,0.667,2.120666667,0.308333333,1.758,0.263666667
